,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
239,Hank Poteat,CB,Pittsburgh,70,197,4.57,37.0,16,126,6.66,4.00,1,2000
240,Travis Prentice,RB,Miami (OH),72,225,4.50,37.0,23,115,6.92,4.40,1,2000
241,Greg Randall,OT,Michigan State,78,333,5.59,26.0,22,95,8.15,5.13,1,2000
242,Tim Rattay,QB,Louisiana Tech,72,215,4.91,25.5,,100,7.34,4.21,1,2000
243,Chase Raynock,OT,Montana,78,308,5.50,25.0,22,94,8.33,5.00,0,2000
244,Chris Redman,QB,Louisville,75,222,5.37,26.5,,98,7.80,4.78,1,2000
245,J.R. Redmond,RB,Arizona State,71,216,4.48,32.5,,121,,,1,2000
246,Quinton Reese,DE,Auburn,76,283,5.13,30.0,18,101,7.91,4.68,1,2000
247,Tutan Reyes,OT,Mississippi,75,299,5.37,26.5,20,99,7.49,4.88,1,2000
248,Rob Riti,C,Missouri,74,293,5.19,29.5,17,106,,,0,2000
249,Fred Robbins,DT,Wake Forest,76,312,5.09,29.5,25,94,7.72,4.72,1,2000
250,Roger Roesler,OG,Texas,77,314,5.31,29.5,25,101,8.31,4.76,0,2000
251,Phillip Rogers,RB,Georgia Tech,73,232,4.68,37.0,19,124,7.21,4.31,0,2000
252,Mark Roman,CB,LSU,71,188,4.55,,,,,,1,2000
253,Blaine Saipaia,OG,Colorado State,75,321,5.35,,,,,,0,2000
255,Chris Samuels,OT,Alabama,77,325,5.08,,,,,,1,2000
256,Lewis Sanders,CB,Maryland,72,202,4.50,37.0,10,116,,,1,2000
257,Ketric Sanford,RB,Houston,67,199,4.60,32.0,12,118,6.63,4.30,0,2000
258,Sekou Sanyika,OLB,California,75,241,4.75,32.5,,111,7.33,4.38,1,2000
259,Manuia Savea,OG,Arizona,74,308,5.34,25.0,24,92,,,1,2000
260,Gari Scott,WR,Michigan State,72,194,4.59,33.5,,119,,,1,2000
261,Tony Scott,CB,North Carolina State,70,193,4.50,34.0,11,116,7.45,4.24,1,2000
262,Richard Seals,DT,Utah,74,316,5.13,28.5,24,102,7.78,4.60,1,2000
263,Aaron Shea,FB,Michigan,76,253,4.81,37.5,,114,6.72,4.30,1,2000
