year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
1997,Orlando Pace,Ohio State,OT,78.90,334,,,,,,
1997,Daniel Palmer,Air Force,C,76.30,290,5.05,21,33.5,127,4.62,
1997,Jason Parker,Tennessee,FS,71.80,192,4.82,21,34.0,117,4.50,
1997,Nathan Parks,Stanford,OG,77.40,307,5.44,,24.5,99,4.56,
1997,Rod Payne,Michigan,C,75.50,303,5.64,28,24.0,,,
1997,Seth Payne,Cornell (NY),DT,75.90,301,5.13,25,33.0,114,4.52,
1997,Pearce Pegross,Baylor,WR,69.40,170,4.63,,31.5,116,4.29,
1997,Harvey Pennypacker,Syracuse,C,75.50,287,,26,,,,
1997,Todd Perkins,Texas A&M-Kingsville,OT,75.50,292,5.38,27,28.5,101,4.77,
1997,Ed Perry,James Madison (VA),TE,76.40,246,4.84,,33.5,118,4.07,
1997,Nathan Perryman,Georgia Tech,CB,68.60,189,4.66,,30.5,113,4.15,
1997,Tyrell Peters,Oklahoma,ILB,72.30,230,4.73,,30.5,111,4.23,
1997,Ryan Phillips,Idaho,OLB,75.90,251,,21,32.0,115,4.11,
1997,Jake Plummer,Arizona State,QB,74.30,195,4.96,,30.0,111,4.29,
1997,Keith Poole,Arizona State,WR,72.80,188,4.57,,31.0,115,4.28,
1997,Juan Porter,Ohio State,C,75.50,302,5.33,,26.5,88,4.74,
1997,Noel Prefontaine,San Diego State,P,71.10,203,,,,,,
1997,Trevor Pryce,Clemson,DT,77.80,282,5.01,17,29.5,110,4.61,
1997,Dan Pulsipher,Utah,K,72.40,175,,,,,,
1997,Andre Purvis,North Carolina,DT,76.50,304,5.14,33,26.5,103,4.99,
1997,Tony Ramirez,Northern Colorado,OT,77.90,296,,29,,,,
1997,Sean Reali,Syracuse,P,70.60,202,,,,,,
1997,Scott Rehberg,Central Michigan,OG,79.80,324,,26,,,,
1997,Wally Richardson,Penn State,QB,76.40,221,4.95,,31.0,109,4.47,
1997,Brian Roberson,Frenso State (CA),WR,68.80,161,4.65,,30.5,115,4.14,
1997,Bryan Robinson,Frenso State (CA),DE,76.00,283,5.12,20,29.5,113,4.48,
1997,Damien Robinson,Iowa,FS,73.90,210,4.78,9,31.5,113,4.12,
1997,Dwaine Robinson,Virginia Union,DT,75.00,280,5.05,33,29.5,97,,
1997,Marcus Robinson,South Carolina,WR,75.40,213,4.55,,37.0,120,,
1997,Derrick Rodgers,Arizona State,OLB,73.10,223,4.78,21,36.5,121,4.45,
1997,Juan Roque,Arizona State,OT,80.00,333,5.57,30,22.5,126,5.07,
1997,Steve Rosga,Colorado,FS,73.00,215,4.79,,29.5,110,4.26,
1997,Raleigh Roundtree,South Carolina State,OT,76.60,295,5.40,14,24.0,87,4.93,
1997,Dwayne Rudd,Alabama,OLB,73.90,242,4.65,29,39.5,115,4.23,
1997,Darrell Russell,Southern California,DT,76.60,321,,25,31.5,96,4.26,
1997,Matt Russell,Colorado,ILB,73.50,245,4.91,13,28.0,104,4.19,
1997,Twan Russell,Miami (FL),OLB,73.40,230,4.83,13,34.0,,,
1997,Tarek Saleh,Wisconsin,OLB,73.60,246,4.85,26,34.0,109,4.19,
1997,Scott Sanderson,Washington State,OT,78.10,290,5.29,18,25.5,92,4.87,
1997,OJ Santiago,Kent State (OH),TE,78.90,267,4.72,22,38.5,125,4.38,
1997,Bob Sapp,Washington,OG,76.40,303,5.19,30,29.5,116,4.62,
1997,Steve Sarkisian,Brigham Young,QB,72.40,208,4.96,,30.0,104,4.51,
1997,Nicky Savoie,Louisiana State,TE,77.80,253,4.95,,29.5,112,4.10,
1997,Tim Scharf,Northwestern,OLB,73.30,236,4.61,25,34.0,112,4.15,
1997,Steve Scifres,Wyoming,OG,75.90,294,5.45,33,30.0,105,4.53,
1997,Chad Scott,Maryland,CB,73.10,203,,20,,,,
1997,Donald Sellers,New Mexico,WR,72.10,184,4.65,,35.5,112,4.53,
1997,Darren Sharper,William & Mary (VA),SS,73.80,206,4.64,16,39.0,121,4.24,
1997,Jamie Sharper,Virginia,OLB,74.90,240,4.67,19,36.5,116,4.24,
1997,Sedrick Shaw,Iowa,RB,72.00,214,4.62,,32.0,112,4.39,
1997,Geroy Simon,Maryland,WR,72.00,188,4.61,,32.0,111,4.49,
1997,Broderick Simpson,Oklahoma,OLB,72.40,220,4.80,,34.0,110,4.49,
1997,Alshermond Singleton,Temple,ILB,74.30,224,4.77,20,39.5,122,4.20,
1997,Alex Smith,Indiana,RB,71.40,208,4.62,16,32.0,111,4.16,
1997,Antowain Smith,Houston,RB,74.40,224,4.48,15,36.5,117,,
1997,Brent Smith,Mississippi State,OG,77.00,303,5.09,24,29.0,,,
1997,Emory Smith,Clemson,FB,71.90,251,4.92,20,34.0,107,4.73,
1997,Jermaine Smith,Georgia,DT,74.60,289,5.04,8,31.5,114,4.51,
1997,Mark Smith,Arkansas,ILB,74.80,243,4.84,15,32.0,112,4.11,
1997,Mark Smith,Auburn,DE,75.60,293,,19,,,,
1997,Jerald Sowell,Tulane (LA),FB,72.40,246,4.77,17,32.5,110,4.52,
1997,Marcus Spriggs,Houston,OG,75.90,315,5.45,29,26.0,,,
1997,Shawn Springs,Ohio State,CB,71.90,197,,17,,,,
1997,Duce Staley,South Carolina,RB,71.10,220,,,,,,
1997,Dennis Stallings,Illinois,ILB,72.10,234,4.71,23,32.0,109,4.36,
1997,Dimitrious Stanley,Ohio State,WR,70.90,188,4.73,,29.0,105,4.50,
1997,Todd Stewart,California,OT,77.10,294,5.27,19,27.0,94,4.79,
1997,Eric Stokes,Nebraska,FS,71.10,192,4.63,13,37.5,117,3.98,
1997,Barron Tanner,Oklahoma,DT,75.30,313,5.44,22,24.5,93,4.73,
1997,Robert Tate,Cincinnati,WR,70.40,187,4.54,,30.0,108,4.30,
1997,Kinnon Tatum,Notre Dame,ILB,71.90,222,4.67,28,39.0,127,4.31,
1997,Jason Taylor,Akron,DE,78.00,243,4.67,18,32.0,111,4.07,
1997,Leland Taylor,Louisville,DT,75.00,303,5.36,18,30.0,96,4.90,
1997,Daryl Terrell,Southern Mississippi,OG,76.50,307,5.23,28,29.0,103,4.77,
1997,Rick Terry,North Carolina,DT,75.90,306,5.09,22,26.0,104,4.67,
1997,Marvin Thomas,Memphis,DE,76.00,265,4.87,20,30.0,109,4.60,
1997,Rod Thomas,Southern Mississippi,CB,72.40,192,4.75,6,33.5,115,4.44,
1997,David Thompson,Oklahoma State,RB,68.30,194,4.69,14,34.5,124,4.24,
1997,Buster Tillman,Ohio State,WR,72.80,186,4.77,,32.5,99,4.10,
1997,Jared Tomich,Nebraska,OLB,74.50,255,,24,,,,
1997,Adam Treu,Nebraska,OT,77.40,302,5.24,17,28.0,90,4.63,
1997,Ryan Tucker,Texas Christian,C,77.90,285,,,,,,
1997,Van Tuinei,Arizona,DE,75.80,268,4.98,24,29.5,102,4.46,
1997,Eric Vance,Vanderbilt,SS,74.00,215,4.62,18,38.5,125,4.33,
1997,Scott Von Der Ahe,Arizona State,ILB,71.40,251,4.84,19,31.5,116,4.49,
1997,Mike Vrabel,Ohio State,DE,76.10,270,4.94,23,29.5,102,4.43,
1997,Corey Walker,Arizona State,RB,69.50,188,4.46,16,35.5,121,4.23,
1997,Denard Walker,Louisiana State,CB,72.90,186,4.55,13,29.5,105,4.31,
1997,Shawn Walters,Southern California,RB,70.90,251,4.87,19,,,,
1997,Chris Ward,Kentucky,DE,75.60,271,5.05,23,30.5,107,4.58,
1997,Dedric Ward,Northern Iowa,WR,68.60,175,4.56,,31.0,109,4.14,
1997,Ronnie Ward,Kansas,ILB,72.40,233,,17,,,,
1997,Vann Washington,West Virginia,FS,72.10,212,,14,34.0,115,4.21,
1997,Cyrill Weems,Wisconsin,SS,73.40,207,4.71,12,34.5,117,4.19,
1997,Bryant Westbrook,Texas,CB,71.80,199,,,,,,
1997,Kenny Wheaton,Oregon,CB,69.60,189,4.76,8,32.0,108,4.23,
1997,Scott Whittaker,Kansas,OT,78.60,302,5.37,,26.0,106,4.41,
1997,Paul Wiggins,Oregon,OT,75.30,303,,33,,,,
1997,Josh Wilcox,Oregon,TE,74.60,256,4.99,14,30.5,108,4.54,
1997,Marcellus Wiley,Columbia (NY),DE,76.80,271,4.91,28,35.5,122,4.50,
1997,Cj Williams,Georgia Tech,RB,72.10,205,4.61,13,39.0,124,4.35,
1997,Jamel Williams,Nebraska,SS,72.60,204,4.60,11,38.0,123,4.15,
1997,Pat Williams,Texas A&M,DT,75.10,288,4.90,24,26.5,93,4.72,
1997,Tony Williams,Memphis,DT,73.30,292,5.07,28,28.0,106,4.23,
1997,Abu Wilson,Utah State,RB,72.40,214,4.73,15,31.5,117,4.50,
1997,Reinard Wilson,Florida State,DE,74.00,259,4.92,26,,,,
1997,Robert Wilson,Florida A&M,WR,70.80,176,4.82,,31.5,108,4.57,
1997,Marcus Wimberly,Miami (FL),FS,71.50,204,4.60,9,31.5,114,4.47,
1997,Sean Woodson,Jackson State (MS),FS,72.60,214,4.83,18,32.5,119,4.30,
1997,Lawrence Wright,Florida,SS,72.80,214,,20,,,,
1997,Danny Wuerffel,Florida,QB,73.80,212,4.90,,28.0,100,4.42,
1997,Jerry Wunsch,Wisconsin,OT,77.90,327,,25,,,,
1997,Antwuan Wyatt,Bethune-Cookman (FL),WR,70.00,199,,,33.5,107,4.33,
1997,Renaldo Wynn,Notre Dame,DE,74.60,288,4.83,28,33.0,115,4.29,
1997,Donnie Young,Florida,OG,75.80,315,5.36,,26.0,101,4.67,
1998,Chris Akins,Texas,DT,73.00,323,,31,,,,
1998,Curtis Alexander,Alabama,RB,71.60,204,4.44,13,37.0,117,,
1998,Jamaal Alexander,Southern Mississippi,FS,70.80,200,4.48,,32.5,113,4.24,
