player,college,position,height,weight,40yd,vertical,bench reps,broad jump,cone,shuttle
Bradyn Swinson,LSU,EDGE,6-4,255,,,,,7.13,4.33
Junior Tafuna,Utah,DT,6-4,308,5.03,28.5,24,,,
Marcus Tate,Clemson,G,6-5,321,,,,,,
Branson Taylor,Pittsburgh,OT,6-6,321,,,,,,
Mason Taylor,LSU,TE,6-5,251,,,,,,
Roc Taylor,Memphis,WR,6-2,213,4.49,30.5,,122,,
Isaac TeSlaa,Arkansas,WR,6-4,214,4.43,39.5,17,129,6.85,4.05
Azareye'h Thomas,Florida St.,CB,6-2,197,,,,122,,
Jay Toia,UCLA,DT,6-2,342,,,,,,
Ozzy Trapilo,Boston Col.,OT,6-8,316,5.21,,,106,7.71,4.70
Jalen Travis,Iowa St.,OT,6-8,339,5.14,35.0,,112,,
Xavier Truss,Georgia,G,6-7,309,5.24,26.0,,103,,
JT Tuimoloau,Ohio St.,EDGE,6-4,265,,,,,,
Shemar Turner,Texas A&M,DT,6-3,290,,,,,,
Bhayshul Tuten,Virginia Tech,RB,5-9,206,4.32,40.5,,130,,4.41
Princely Umanmielen,Mississippi,EDGE,6-4,244,4.72,38.0,,126,7.33,4.46
Malik Verdon,Iowa St.,SAF,6-4,218,,,,,7.06,4.34
Carson Vinson,Alabama A&M,OT,6-7,314,5.12,28.5,,111,7.51,
David Walker,Central Arkansas,EDGE,6-1,263,4.69,35.0,26,118,7.15,4.39
Deone Walker,Kentucky,DT,6-7,331,,25.0,,104,,
Jalon Walker,Georgia,LB,6-1,243,,,,,,
Justin Walley,Minnesota,CB,5-10,190,4.40,,,,,
Cam Ward,Miami,QB,6-2,219,,,,,,
Tyler Warren,Penn St.,TE,6-6,256,,,,,,
Jordan Watkins,Mississippi,WR,5-11,196,4.37,36.5,,119,,
Xavier Watts,Notre Dame,SAF,6-0,204,,,,,,
Isas Waxter,Villanova,CB,6-1,209,4.56,35.0,,124,,
Theo Wease,Missouri,WR,6-3,200,4.56,31.0,,117,,
Robert Webb,Jacksonville St.,C,6-3,312,5.11,31.0,,107,,4.90
CJ West,Indiana,DT,6-1,316,4.95,33.0,,,,
LaJohntay Wester,Colorado,WR,5-10,163,4.46,32.0,,121,,
John Williams,Cincinnati,G,6-4,322,5.17,,,,7.93,4.72
Cameron Williams,Texas,OT,6-6,317,,,,,,
Kyle Williams,Washington St.,WR,5-11,190,4.40,36.5,,119,,
Mykel Williams,Georgia,EDGE,6-5,260,,,,,,
Nohl Williams,California,CB,6-0,199,4.50,33.5,19,120,,
Savion Williams,TCU,WR,6-4,222,4.48,,,,,
Tyleik Williams,Ohio St.,DT,6-3,334,,,,,,
Jared Wilson,Georgia,C,6-3,310,4.84,32.0,,112,,4.56
Hunter Wohler,Wisconsin,SAF,6-2,213,4.57,37.0,,120,6.72,4.25
Ernest Woodard,UNLV,LB,6-2,234,,,21,,,
Craig Woodson,California,SAF,6-0,200,4.45,36.0,13,127,,
Marcus Yarns,Delaware,RB,5-11,193,4.45,37.5,,122,,
Grey Zabel,North Dakota St.,OT,6-6,312,,36.5,,111,,
